Cash
Date	Open	High	Low	Close	Indicator
31.12.2001	100	100	100	100	0.00%
31.01.2002	100	100	100	100	0.00%
28.02.2002	100	100	100	100	0.00%
28.03.2002	100	100	100	100	0.00%
30.04.2002	100	100	100	100	0.00%
31.05.2002	100	100	100	100	0.00%
28.06.2002	100	100	100	100	0.00%
31.07.2002	100	100	100	100	0.00%
30.08.2002	100	100	100	100	0.00%
30.09.2002	100	100	100	100	0.00%
31.10.2002	100	100	100	100	0.00%
29.11.2002	100	100	100	100	0.00%
31.12.2002	100	100	100	100	0.00%
31.01.2003	100	100	100	100	0.00%
28.02.2003	100	100	100	100	0.00%
31.03.2003	100	100	100	100	0.00%
30.04.2003	100	100	100	100	0.00%
30.05.2003	100	100	100	100	0.00%
30.06.2003	100	100	100	100	0.00%
31.07.2003	100	100	100	100	0.00%
29.08.2003	100	100	100	100	0.00%
30.09.2003	100	100	100	100	0.00%
31.10.2003	100	100	100	100	0.00%
28.11.2003	100	100	100	100	0.00%
31.12.2003	100	100	100	100	0.00%
30.01.2004	100	100	100	100	0.00%
27.02.2004	100	100	100	100	0.00%
31.03.2004	100	100	100	100	0.00%
30.04.2004	100	100	100	100	0.00%
28.05.2004	100	100	100	100	0.00%
30.06.2004	100	100	100	100	0.00%
30.07.2004	100	100	100	100	0.00%
31.08.2004	100	100	100	100	0.00%
30.09.2004	100	100	100	100	0.00%
29.10.2004	100	100	100	100	0.00%
30.11.2004	100	100	100	100	0.00%
31.12.2004	100	100	100	100	0.00%
31.01.2005	100	100	100	100	0.00%
28.02.2005	100	100	100	100	0.00%
31.03.2005	100	100	100	100	0.00%
29.04.2005	100	100	100	100	0.00%
31.05.2005	100	100	100	100	0.00%
30.06.2005	100	100	100	100	0.00%
29.07.2005	100	100	100	100	0.00%
31.08.2005	100	100	100	100	0.00%
30.09.2005	100	100	100	100	0.00%
31.10.2005	100	100	100	100	0.00%
30.11.2005	100	100	100	100	0.00%
30.12.2005	100	100	100	100	0.00%
