IBB					
Date	Open	High	Low	Close	Indicator
31.12.2001	91.7775	96.4204	86.2197	89.5642	0.00%
31.01.2002	89.0232	89.3674	73.1859	77.0222	0.00%
28.02.2002	77.8092	80.0225	69.9889	73.2351	0.00%
28.03.2002	71.8087	81.3898	71.1693	75.8418	0.00%
30.04.2002	75.7435	76.8255	60.7915	63.8409	0.00%
31.05.2002	64.3328	64.5197	55.8829	57.0043	0.00%
28.06.2002	56.5813	57.2011	45.6526	50.1677	-22.66%
31.07.2002	49.43	51.4269	39.003	50.758	-10.58%
30.08.2002	50.7579	54.3386	45.8395	48.2004	-14.75%
30.09.2002	47.02	49.971	42.1803	45.4953	-17.08%
31.10.2002	45.692	51.2301	43.3803	50.2661	-0.10%
29.11.2002	50.2464	56.0895	49.7251	54.9681	5.05%
31.12.2002	56.0698	56.1682	48.1512	48.5447	-8.87%
31.01.2003	49.43	53.1188	47.4626	47.7774	-3.01%
28.02.2003	47.6102	48.0036	45.2198	47.0691	-1.77%
31.03.2003	47.197	52.0367	45.4461	50.3645	8.24%
30.04.2003	50.3645	57.0535	49.1841	56.3649	11.99%
30.05.2003	56.0698	67.1854	55.3517	66.9493	19.78%
30.06.2003	70.1365	76.2451	64.0868	65.8968	10.87%
31.07.2003	65.0213	73.1564	64.0377	71.9563	23.00%
29.08.2003	71.7104	72.9891	63.654	72.5563	18.61%
30.09.2003	72.6547	78.5076	68.1888	70.5791	11.56%
31.10.2003	70.8251	75.2024	67.1854	69.8315	7.26%
28.11.2003	70.7267	70.7267	64.6279	68.2183	-0.91%
31.12.2003	68.9069	72.094	66.1034	70.7759	4.97%
30.01.2004	71.8481	78.3207	71.4349	75.5959	6.23%
27.02.2004	76.2845	78.5371	73.7761	76.2353	2.25%
31.03.2004	76.8353	80.3176	71.671	76.0287	2.39%
30.04.2004	76.1369	83.6129	76.0287	76.4911	3.58%
28.05.2004	76.0582	78.6945	71.5628	74.3663	1.15%
30.06.2004	74.4647	75.5467	70.0381	73.8745	1.02%
30.07.2004	74.2679	74.2679	62.7097	66.7428	-10.34%
31.08.2004	66.1034	68.2183	60.221	66.5952	-4.36%
