IEF					
Date	Open	High	Low	Close	Indicator
30.08.2002	52.3841	54.0913	52.3714	53.6915	0.00%
30.09.2002	54.1882	55.8503	53.8061	55.7612	0.00%
31.10.2002	55.415	55.8876	53.5691	55.0637	0.00%
29.11.2002	54.9451	55.4322	53.6761	53.9133	0.00%
31.12.2002	53.5263	56.0268	53.5199	55.826	0.00%
31.01.2003	55.4695	55.7482	54.4457	55.3983	0.00%
28.02.2003	55.423	56.6582	55.1304	56.6192	3.29%
31.03.2003	56.5931	57.2776	55.1067	56.4041	0.13%
30.04.2003	56.3773	56.4949	55.4096	56.4819	0.95%
30.05.2003	56.6079	58.7478	56.1353	58.623	5.44%
30.06.2003	58.3821	59.7644	57.849	58.2176	0.97%
31.07.2003	58.5114	58.7302	54.8441	55.295	-3.41%
29.08.2003	55.3264	56.691	54.9585	55.6877	-0.07%
30.09.2003	55.6296	58.6541	55.4608	58.4583	4.53%
31.10.2003	58.7382	58.8675	56.7637	57.6011	-0.32%
28.11.2003	57.4228	58.4407	56.849	57.6141	-0.56%
31.12.2003	57.3442	59.1981	57.036	58.7896	1.69%
30.01.2004	58.6646	60.2957	58.1094	59.3865	3.14%
27.02.2004	59.3273	60.3855	59.1741	60.3437	3.86%
31.03.2004	60.498	61.8246	59.8347	61.1264	2.39%
30.04.2004	61.0746	61.0956	58.1966	58.4697	-2.39%
28.05.2004	58.4191	58.7633	57.1195	58.1592	-0.04%
30.06.2004	57.9823	58.5814	57.2703	58.5391	0.29%
30.07.2004	58.5342	59.6444	58.3927	59.2484	0.73%
31.08.2004	59.4279	61.0101	59.2576	60.925	2.21%
30.09.2004	60.9933	61.7406	60.2531	61.1214	0.21%
29.10.2004	60.9265	62.0116	60.5553	61.726	2.52%
30.11.2004	61.6222	61.701	60.4336	60.5052	0.03%
31.12.2004	60.6646	61.8354	60.248	61.2115	2.30%
31.01.2005	61.1898	61.7735	60.9449	61.7447	1.99%
28.02.2005	61.7382	62.4103	60.8203	60.8998	-0.93%
31.03.2005	60.8643	61.2411	59.8496	60.6541	-0.52%
29.04.2005	60.857	62.4495	60.4134	62.1804	1.92%
31.05.2005	62.2293	63.3235	61.9667	63.3235	2.78%
30.06.2005	63.4435	64.0142	62.7045	63.6264	1.63%
29.07.2005	63.4752	63.5119	62.1835	62.2349	-1.19%
31.08.2005	62.1841	63.502	61.6319	63.4799	2.75%
30.09.2005	63.4459	63.6675	62.3306	62.3676	-0.23%
31.10.2005	62.3654	62.4987	61.4168	61.5947	-1.14%
30.11.2005	61.6452	62.4112	61.0875	61.9799	-0.29%
30.12.2005	62.0045	62.9612	61.6314	62.8264	0.49%
31.01.2006	62.6617	63.1484	62.2274	62.3847	-0.39%
28.02.2006	62.3426	62.4177	61.8994	62.3201	-0.68%
31.03.2006	62.2726	62.3404	61.3005	61.4738	-1.38%
