SMH					
Date	Open	High	Low	Close	Indicator			
31.12.2001	32.8482	37.096	31.5281	32.4988	0.00%
31.01.2002	32.5065	37.624	31.5436	35.1779	0.00%
28.02.2002	35.1623	36.265	30.9845	31.3417	0.00%
28.03.2002	31.6601	38.9752	31.6601	36.133	0.00%
30.04.2002	35.7991	37.4221	31.1398	32.2037	0.00%
31.05.2002	32.2425	34.7896	28.3054	29.8585	0.00%
28.06.2002	29.8585	29.8585	21.9376	23.5684	-23.20%
31.07.2002	23.3743	25.1681	19.1809	20.8139	-21.40%
30.08.2002	20.8139	22.6778	17.2413	18.717	-20.14%
30.09.2002	18.4141	19.6101	14.228	14.9425	-32.99%
31.10.2002	15.1444	19.1752	13.4514	18.6238	2.37%
29.11.2002	18.5228	23.5321	17.785	22.7555	6.86%
31.12.2002	23.8816	24.0757	17.0938	17.2025	-25.27%
31.01.2003	17.6297	20.5343	15.8745	16.6977	-8.55%
28.02.2003	16.6666	18.3286	15.8123	18.282	5.55%
31.03.2003	18.3286	20.5809	16.9307	17.9325	5.40%
30.04.2003	18.0801	21.575	17.9869	20.4954	12.88%
30.05.2003	20.4877	23.4544	20.1304	23.2603	9.73%
30.06.2003	23.4933	25.2174	21.3498	21.9245	5.32%
31.07.2003	21.8002	25.7766	21.474	25.2407	27.14%
29.08.2003	25.163	29.4035	23.4389	29.0385	29.64%
30.09.2003	29.4734	30.1723	26.6386	26.7163	11.00%
31.10.2003	27.0037	32.8906	26.794	32.3469	33.33%
28.11.2003	32.7353	34.7157	31.8499	34.0183	18.86%
31.12.2003	34.4066	34.4765	29.832	32.2242	12.14%
30.01.2004	32.5504	35.5561	31.8824	32.5892	10.46%
27.02.2004	32.8533	34.0468	31.0555	31.7796	1.49%
31.03.2004	31.7486	33.0617	28.6327	30.6918	2.68%
30.04.2004	30.8239	32.611	27.374	27.4284	-12.16%
28.05.2004	27.6071	30.3381	26.8068	30.2604	3.20%
30.06.2004	30.0271	30.307	27.7024	29.4129	-4.78%
30.07.2004	29.1019	29.1174	23.916	25.5798	-15.86%
31.08.2004	25.2299	25.8208	22.0146	22.8212	-16.59%
30.09.2004	22.7434	25.0388	21.6152	23.5293	-5.71%
29.10.2004	23.9183	25.5104	22.759	25.1757	1.93%
30.11.2004	25.1602	27.1379	24.4987	25.3002	-5.13%
31.12.2004	25.6226	27.2192	24.836	25.9894	-2.06%
31.01.2005	26.1686	26.301	23.1078	24.3159	-5.94%
28.02.2005	24.425	27.2604	24.1395	26.5116	11.41%
31.03.2005	26.7924	27.2292	24.9758	25.3736	-0.25%
29.04.2005	25.5296	25.631	23.3066	24.0515	-4.96%
31.05.2005	24.1217	27.1848	24.0359	26.8801	9.92%
30.06.2005	26.7785	27.8342	26.1776	26.3104	-1.00%
29.07.2005	26.3338	29.4986	26.2713	29.1985	14.01%
31.08.2005	29.2532	29.9488	28.0621	28.944	2.48%
30.09.2005	28.8266	29.531	27.7003	28.9135	4.58%
31.10.2005	29.0779	29.4301	25.502	26.2694	-3.02%
30.11.2005	26.2224	29.6103	25.9327	29.3201	10.77%
30.12.2005	29.673	30.7002	28.6315	28.7335	1.74%
31.01.2006	28.9687	31.8703	28.5923	29.2627	1.30%
28.02.2006	29.4196	30.676	28.9205	29.0855	-0.24%
31.03.2006	29.3605	30.5547	27.3664	28.5371	-1.69%
28.04.2006	28.6392	30.4935	28.2307	29.594	6.69%
31.05.2006	29.5861	30.2707	26.3069	26.7951	-9.18%
30.06.2006	26.7715	27.4801	24.8045	25.9148	-5.46%
31.07.2006	26.1274	26.3243	22.882	24.859	-7.73%
31.08.2006	24.6066	27.2769	24.0782	26.9527	3.17%
29.09.2006	27.0001	27.7608	25.8142	27.1124	-1.27%
